,dtime,r_wspd,r_apower
0,2021-01-01 00:00:00,5.25,34382.12890625
1,2021-01-01 00:15:00,5.309999942779541,36543.75
2,2021-01-01 00:30:00,5.170000076293945,33635.33984375
3,2021-01-01 00:45:00,5.150000095367432,35055.078125
4,2021-01-01 01:00:00,4.590000152587891,27367.099609375
5,2021-01-01 01:15:00,4.090000152587891,22306.75
6,2021-01-01 01:30:00,3.6700000762939453,16556.94921875
7,2021-01-01 01:45:00,3.690000057220459,16745.900390625
8,2021-01-01 02:00:00,4.199999809265137,22432.01953125
9,2021-01-01 02:15:00,4.21999979019165,23603.05078125
10,2021-01-01 02:30:00,4.28000020980835,20803.060546875
11,2021-01-01 02:45:00,4.400000095367432,22019.650390625
12,2021-01-01 03:00:00,4.130000114440918,20501.01953125
13,2021-01-01 03:15:00,4.199999809265137,20629.7109375
14,2021-01-01 03:30:00,4.320000171661377,20928.349609375
15,2021-01-01 03:45:00,4.699999809265137,26809.580078125
16,2021-01-01 04:00:00,4.820000171661377,27946.2890625
17,2021-01-01 04:15:00,5.199999809265137,37291.75
18,2021-01-01 04:30:00,5.079999923706055,39604.9609375
19,2021-01-01 04:45:00,5.210000038146973,37141.671875
20,2021-01-01 05:00:00,5.110000133514404,35198.6796875
21,2021-01-01 05:15:00,4.650000095367432,27214.140625
22,2021-01-01 05:30:00,4.659999847412109,27250.2109375
23,2021-01-01 05:45:00,5.53000020980835,41235.44921875
24,2021-01-01 06:00:00,5.53000020980835,41024.1796875
25,2021-01-01 06:15:00,5.670000076293945,44863.41015625
26,2021-01-01 06:30:00,6.059999942779541,54930.98828125
27,2021-01-01 06:45:00,6.599999904632568,69955.296875
28,2021-01-01 07:00:00,6.909999847412109,76877.7421875
29,2021-01-01 07:15:00,6.300000190734863,64752.8203125
30,2021-01-01 07:30:00,5.409999847412109,41746.94921875
31,2021-01-01 07:45:00,4.690000057220459,25655.33984375
32,2021-01-01 08:00:00,4.230000019073486,16172.41015625
33,2021-01-01 08:15:00,4.230000019073486,16400.990234375
34,2021-01-01 08:30:00,3.859999895095825,15554.2197265625
35,2021-01-01 08:45:00,3.380000114440918,9025.5302734375
36,2021-01-01 09:00:00,3.140000104904175,6501.52001953125
37,2021-01-01 09:15:00,2.8399999141693115,4190.0498046875
38,2021-01-01 09:30:00,2.549999952316284,2089.699951171875
39,2021-01-01 09:45:00,2.5399999618530273,2137.639892578125
40,2021-01-01 10:00:00,2.2100000381469727,1184.6700439453125
41,2021-01-01 10:15:00,2.549999952316284,1077.0699462890625
42,2021-01-01 10:30:00,2.4600000381469727,813.8499755859375
43,2021-01-01 10:45:00,2.4700000286102295,735.5999755859375
44,2021-01-01 11:00:00,2.5399999618530273,497.6400146484375
45,2021-01-01 11:15:00,2.319999933242798,418.29998779296875
46,2021-01-01 11:30:00,2.4800000190734863,848.8300170898438
47,2021-01-01 11:45:00,2.5299999713897705,1297.0400390625
48,2021-01-01 12:00:00,2.809999942779541,3254.419921875
49,2021-01-01 12:15:00,2.700000047683716,3465.2099609375
50,2021-01-01 12:30:00,2.6700000762939453,2327.1201171875
51,2021-01-01 12:45:00,2.4100000858306885,735.6599731445312
52,2021-01-01 13:00:00,2.440000057220459,410.260009765625
53,2021-01-01 13:15:00,2.490000009536743,401.1000061035156
54,2021-01-01 13:30:00,2.299999952316284,172.8800048828125
55,2021-01-01 13:45:00,2.0199999809265137,0.0
56,2021-01-01 14:00:00,1.8700000047683716,0.0
57,2021-01-01 14:15:00,1.840000033378601,0.0
58,2021-01-01 14:30:00,1.850000023841858,0.0
59,2021-01-01 14:45:00,2.25,0.0
60,2021-01-01 15:00:00,2.3399999141693115,0.0
61,2021-01-01 15:15:00,2.6700000762939453,138.9199981689453
62,2021-01-01 15:30:00,2.8399999141693115,413.9200134277344
63,2021-01-01 15:45:00,2.640000104904175,438.29998779296875
64,2021-01-01 16:00:00,2.4000000953674316,0.0
65,2021-01-01 16:15:00,2.109999895095825,0.0
66,2021-01-01 16:30:00,2.180000066757202,0.0
67,2021-01-01 16:45:00,2.309999942779541,309.1000061035156
68,2021-01-01 17:00:00,2.430000066757202,591.5499877929688
69,2021-01-01 17:15:00,2.430000066757202,205.22999572753906
70,2021-01-01 17:30:00,2.359999895095825,331.0
71,2021-01-01 17:45:00,2.7300000190734863,3635.27001953125
72,2021-01-01 18:00:00,3.0399999618530273,7629.60009765625
73,2021-01-01 18:15:00,2.940000057220459,5177.080078125
74,2021-01-01 18:30:00,2.7699999809265137,2945.68994140625
75,2021-01-01 18:45:00,2.8499999046325684,2764.43994140625
76,2021-01-01 19:00:00,2.680000066757202,1257.8499755859375
77,2021-01-01 19:15:00,2.509999990463257,543.77001953125
78,2021-01-01 19:30:00,2.4200000762939453,0.0
79,2021-01-01 19:45:00,2.319999933242798,0.0
80,2021-01-01 20:00:00,2.1700000762939453,0.0
81,2021-01-01 20:15:00,2.109999895095825,0.0
82,2021-01-01 20:30:00,2.059999942779541,0.0
83,2021-01-01 20:45:00,1.940000057220459,0.0
84,2021-01-01 21:00:00,1.9600000381469727,0.0
85,2021-01-01 21:15:00,2.259999990463257,0.0
86,2021-01-01 21:30:00,2.2300000190734863,230.61000061035156
87,2021-01-01 21:45:00,2.309999942779541,202.32000732421875
88,2021-01-01 22:00:00,2.130000114440918,27.459999084472656
89,2021-01-01 22:15:00,1.850000023841858,0.0
90,2021-01-01 22:30:00,2.0199999809265137,0.0
91,2021-01-01 22:45:00,2.049999952316284,23.93000030517578
92,2021-01-01 23:00:00,2.1600000858306885,85.75
93,2021-01-01 23:15:00,1.9800000190734863,0.0
94,2021-01-01 23:30:00,1.909999966621399,0.0
95,2021-01-01 23:45:00,1.8899999856948853,0.0
96,2021-01-02 00:00:00,1.8700000047683716,0.0
97,2021-01-02 00:15:00,1.940000057220459,0.0
98,2021-01-02 00:30:00,2.299999952316284,0.0
99,2021-01-02 00:45:00,2.7699999809265137,787.7100219726562
100,2021-01-02 01:00:00,2.6500000953674316,1253.3900146484375
101,2021-01-02 01:15:00,2.359999895095825,116.04000091552734
102,2021-01-02 01:30:00,2.3399999141693115,202.35000610351562
103,2021-01-02 01:45:00,1.940000057220459,0.0
104,2021-01-02 02:00:00,1.8799999952316284,0.0
105,2021-01-02 02:15:00,1.809999942779541,0.0
106,2021-01-02 02:30:00,1.8600000143051147,0.0
107,2021-01-02 02:45:00,1.559999942779541,0.0
108,2021-01-02 03:00:00,1.5,0.0
109,2021-01-02 03:15:00,1.2899999618530273,0.0
110,2021-01-02 03:30:00,1.2200000286102295,0.0
111,2021-01-02 03:45:00,1.2599999904632568,0.0
112,2021-01-02 04:00:00,1.159999966621399,0.0
113,2021-01-02 04:15:00,1.0199999809265137,0.0
114,2021-01-02 04:30:00,1.0,0.0
115,2021-01-02 04:45:00,1.0099999904632568,0.0
116,2021-01-02 05:00:00,1.090000033378601,0.0
117,2021-01-02 05:15:00,1.0,0.0
