,dtime,r_wspd,r_apower
0,2021-01-01 00:00:00,8.59000015258789,14809.7109375
1,2021-01-01 00:15:00,8.59000015258789,15901.490234375
2,2021-01-01 00:30:00,8.84000015258789,16270.0205078125
3,2021-01-01 00:45:00,8.600000381469727,15955.7685546875
4,2021-01-01 01:00:00,8.65999984741211,15978.51953125
5,2021-01-01 01:15:00,8.619999885559082,16306.6201171875
6,2021-01-01 01:30:00,8.5600004196167,15557.6396484375
7,2021-01-01 01:45:00,8.40999984741211,15389.6591796875
8,2021-01-01 02:00:00,8.319999694824219,14990.4296875
9,2021-01-01 02:15:00,8.460000038146973,15624.5810546875
10,2021-01-01 02:30:00,8.380000114440918,15340.9990234375
11,2021-01-01 02:45:00,8.229999542236328,14549.5498046875
12,2021-01-01 03:00:00,8.550000190734863,15148.279296875
13,2021-01-01 03:15:00,8.229999542236328,15457.3388671875
14,2021-01-01 03:30:00,8.239999771118164,14166.1513671875
15,2021-01-01 03:45:00,8.520000457763672,15895.9208984375
16,2021-01-01 04:00:00,8.359999656677246,15542.349609375
17,2021-01-01 04:15:00,8.079999923706055,13485.0400390625
18,2021-01-01 04:30:00,7.900000095367432,12516.009765625
19,2021-01-01 04:45:00,8.039999961853027,12407.240234375
20,2021-01-01 05:00:00,8.119999885559082,13313.3310546875
21,2021-01-01 05:15:00,8.199999809265137,13929.2001953125
22,2021-01-01 05:30:00,8.319999694824219,14276.099609375
23,2021-01-01 05:45:00,8.100000381469727,14189.130859375
24,2021-01-01 06:00:00,8.1899995803833,13519.6904296875
25,2021-01-01 06:15:00,8.319999694824219,13984.4892578125
26,2021-01-01 06:30:00,8.699999809265137,15827.1708984375
27,2021-01-01 06:45:00,8.710000038146973,15243.78125
28,2021-01-01 07:00:00,8.710000038146973,15918.169921875
29,2021-01-01 07:15:00,8.779999732971191,14785.548828125
30,2021-01-01 07:30:00,8.819999694824219,15649.9013671875
31,2021-01-01 07:45:00,8.680000305175781,14476.16015625
32,2021-01-01 08:00:00,9.039999961853027,15889.939453125
33,2021-01-01 08:15:00,8.510000228881836,13308.0595703125
34,2021-01-01 08:30:00,8.399999618530273,14505.1611328125
35,2021-01-01 08:45:00,8.5,14751.12890625
36,2021-01-01 09:00:00,8.539999961853027,14755.3203125
37,2021-01-01 09:15:00,7.849999904632568,10648.1796875
38,2021-01-01 09:30:00,7.909999847412109,11117.41015625
39,2021-01-01 09:45:00,7.789999961853027,11509.58984375
40,2021-01-01 10:00:00,7.730000019073486,11098.4404296875
41,2021-01-01 10:15:00,8.199999809265137,12437.2099609375
42,2021-01-01 10:30:00,8.029999732971191,11918.240234375
43,2021-01-01 10:45:00,7.929999828338623,12501.580078125
44,2021-01-01 11:00:00,7.670000076293945,11125.919921875
45,2021-01-01 11:15:00,8.229999542236328,13971.16015625
46,2021-01-01 11:30:00,7.880000114440918,12116.3701171875
47,2021-01-01 11:45:00,7.619999885559082,9905.419921875
48,2021-01-01 12:00:00,7.610000133514404,9840.580078125
49,2021-01-01 12:15:00,7.46999979019165,8980.98046875
50,2021-01-01 12:30:00,7.380000114440918,8879.2998046875
51,2021-01-01 12:45:00,7.239999771118164,7874.16015625
52,2021-01-01 13:00:00,7.03000020980835,6415.06982421875
53,2021-01-01 13:15:00,7.059999942779541,6811.6396484375
54,2021-01-01 13:30:00,7.25,7957.2998046875
55,2021-01-01 13:45:00,6.71999979019165,5499.3798828125
56,2021-01-01 14:00:00,7.210000038146973,7171.0595703125
57,2021-01-01 14:15:00,7.519999980926514,8892.3701171875
58,2021-01-01 14:30:00,7.329999923706055,7169.02978515625
59,2021-01-01 14:45:00,7.539999961853027,8676.7900390625
60,2021-01-01 15:00:00,7.659999847412109,9832.3896484375
61,2021-01-01 15:15:00,7.559999942779541,9483.330078125
62,2021-01-01 15:30:00,7.610000133514404,9725.419921875
63,2021-01-01 15:45:00,7.559999942779541,9269.5498046875
64,2021-01-01 16:00:00,7.71999979019165,10359.5595703125
65,2021-01-01 16:15:00,7.489999771118164,8754.419921875
66,2021-01-01 16:30:00,7.230000019073486,7484.3798828125
67,2021-01-01 16:45:00,7.46999979019165,8532.5302734375
68,2021-01-01 17:00:00,7.449999809265137,8342.0703125
69,2021-01-01 17:15:00,7.28000020980835,7309.39990234375
70,2021-01-01 17:30:00,6.980000019073486,5508.64990234375
71,2021-01-01 17:45:00,6.739999771118164,5114.330078125
72,2021-01-01 18:00:00,6.940000057220459,5741.77001953125
73,2021-01-01 18:15:00,6.980000019073486,6137.35009765625
74,2021-01-01 18:30:00,6.849999904632568,5925.18994140625
75,2021-01-01 18:45:00,7.28000020980835,7505.27001953125
76,2021-01-01 19:00:00,6.880000114440918,5992.7998046875
77,2021-01-01 19:15:00,7.170000076293945,7599.85986328125
78,2021-01-01 19:30:00,7.400000095367432,8645.1298828125
79,2021-01-01 19:45:00,7.309999942779541,8778.1103515625
80,2021-01-01 20:00:00,7.170000076293945,7714.85986328125
81,2021-01-01 20:15:00,6.960000038146973,6606.77001953125
82,2021-01-01 20:30:00,6.929999828338623,6508.50927734375
83,2021-01-01 20:45:00,7.46999979019165,8842.6796875
84,2021-01-01 21:00:00,7.5,9268.1796875
85,2021-01-01 21:15:00,7.429999828338623,9956.73046875
86,2021-01-01 21:30:00,7.840000152587891,11750.16015625
87,2021-01-01 21:45:00,7.159999847412109,7816.45947265625
88,2021-01-01 22:00:00,7.0,7571.890625
89,2021-01-01 22:15:00,7.309999942779541,9326.8798828125
90,2021-01-01 22:30:00,7.239999771118164,8435.58984375
91,2021-01-01 22:45:00,7.619999885559082,10677.080078125
92,2021-01-01 23:00:00,8.130000114440918,13644.0302734375
93,2021-01-01 23:15:00,7.739999771118164,11529.8798828125
94,2021-01-01 23:30:00,7.179999828338623,8299.73046875
95,2021-01-01 23:45:00,6.489999771118164,4707.509765625
96,2021-01-02 00:00:00,6.050000190734863,3402.10009765625
97,2021-01-02 00:15:00,6.199999809265137,3287.97998046875
98,2021-01-02 00:30:00,6.460000038146973,4264.56005859375
99,2021-01-02 00:45:00,6.400000095367432,4007.1298828125
100,2021-01-02 01:00:00,6.579999923706055,4741.8798828125
101,2021-01-02 01:15:00,6.690000057220459,4563.580078125
