,dtime,p_sfc,rh_2,t_2,tdew2m,wdir_70,wspd_70
66,2021-01-01 16:30:00,1026.983,49.131,3.907,-5.824,4.135,1.891
67,2021-01-01 16:45:00,1027.073,50.478,3.737,-5.621,4.324,1.968
68,2021-01-01 17:00:00,1027.146,51.664,3.583,-5.451,6.787,2.014
69,2021-01-01 17:15:00,1027.196,52.542,3.465,-5.332,11.907,2.035
70,2021-01-01 17:30:00,1027.228,53.189,3.374,-5.255,18.738,2.052
71,2021-01-01 17:45:00,1027.25,53.737,3.292,-5.198,25.969,2.074
72,2021-01-01 18:00:00,1027.272,54.32,3.203,-5.143,32.373,2.091
73,2021-01-01 18:15:00,1027.298,55.015,3.095,-5.077,37.177,2.081
74,2021-01-01 18:30:00,1027.331,55.681,2.994,-5.011,40.641,2.039
75,2021-01-01 18:45:00,1027.366,56.119,2.931,-4.965,43.111,1.977
76,2021-01-01 19:00:00,1027.404,56.132,2.937,-4.957,44.81,1.908
77,2021-01-01 19:15:00,1027.441,55.598,3.033,-4.999,45.831,1.841
78,2021-01-01 19:30:00,1027.474,54.693,3.19,-5.073,45.97,1.765
79,2021-01-01 19:45:00,1027.499,53.668,3.371,-5.153,44.897,1.664
80,2021-01-01 20:00:00,1027.512,52.774,3.537,-5.213,42.057,1.523
81,2021-01-01 20:15:00,1027.512,52.23,3.651,-5.235,36.495,1.343
82,2021-01-01 20:30:00,1027.505,52.125,3.692,-5.22,27.296,1.164
83,2021-01-01 20:45:00,1027.498,52.515,3.639,-5.173,14.313,1.04
84,2021-01-01 21:00:00,1027.498,53.458,3.474,-5.102,0.0,1.01
85,2021-01-01 21:15:00,1027.513,54.963,3.188,-5.013,348.513,1.072
86,2021-01-01 21:30:00,1027.536,56.85,2.823,-4.913,340.56,1.179
87,2021-01-01 21:45:00,1027.563,58.891,2.433,-4.807,334.716,1.297
88,2021-01-01 22:00:00,1027.586,60.859,2.072,-4.701,329.444,1.406
89,2021-01-01 22:15:00,1027.6,62.578,1.782,-4.598,323.714,1.5
90,2021-01-01 22:30:00,1027.604,64.085,1.559,-4.492,317.549,1.581
91,2021-01-01 22:45:00,1027.6,65.468,1.391,-4.373,311.143,1.65
92,2021-01-01 23:00:00,1027.586,66.816,1.262,-4.23,304.613,1.704
93,2021-01-01 23:15:00,1027.565,68.197,1.159,-4.059,298.013,1.745
94,2021-01-01 23:30:00,1027.546,69.591,1.069,-3.875,291.491,1.787
95,2021-01-01 23:45:00,1027.538,70.96,0.981,-3.698,285.392,1.843
96,2021-01-02 00:00:00,,,,,,
97,2021-01-02 00:15:00,,,,,,
98,2021-01-02 00:30:00,,,,,,
99,2021-01-02 00:45:00,,,,,,
100,2021-01-02 01:00:00,,,,,,
