dtime,p_sfc,rh_2,t_2,tdew2m,wdir_70,wspd_70,power
2021-01-01 00:00:00,1.2544858121380178,1.3712800478584704,-1.8003765493388808,-1.506176159938336,-1.1390670928129594,-1.0425995404281514,-1.2126061992543302
2021-01-01 00:15:00,1.2405841356759535,1.3547373697457463,-1.8033659482443412,-1.5162569842570648,-1.1447433786655805,-1.0282330653441518,-1.2126061992543302
2021-01-01 00:30:00,1.2236308716978213,1.3422865201414698,-1.8057089906297017,-1.5237326517293808,-1.148759106706632,-1.022486475310552,-1.2126061992543302
2021-01-01 00:45:00,1.2049822813218776,1.3319400394843952,-1.8075672656249877,-1.5299623746229774,-1.151255370083502,-1.0217028493968792,-1.2126061992543302
2021-01-01 01:00:00,1.1859946256663794,1.3217104682132759,-1.8091831569252366,-1.5357390267606756,-1.1522213154771603,-1.0219640580347702,-1.2126061992543302
2021-01-01 01:15:00,1.1676851005699902,1.309201163916022,-1.8106374590954604,-1.541968749654272,-1.152470941814847,-1.0211804321210973,-1.2126061992543302
2021-01-01 01:30:00,1.1498841733929523,1.2905541168560966,-1.8106374590954604,-1.5486515433037666,-1.156193630242092,-1.0217028493968792,-1.2126061992543302
2021-01-01 01:45:00,1.131913713576137,1.2615021344461184,-1.8078904438850376,-1.5556741400201846,-1.1685230006600231,-1.027449439430479,-1.2126061992543302
2021-01-01 02:00:00,1.1129260579206388,1.2177780240987064,-1.8008613167289553,-1.5626967367366023,-1.1951353389212611,-1.0405098713250243,-1.2126061992543302
2021-01-01 02:15:00,1.0927516737866612,1.1572189621736817,-1.7888229265421025,-1.5697193334530202,-1.2394820004773048,-1.0603617278047328,-1.2126061992543302
2021-01-01 02:30:00,1.0718991590935745,1.0856704179688264,-1.7738759320148019,-1.5773082686143105,-1.291404278716197,-1.0783851238192053,-1.2126061992543302
2021-01-01 02:45:00,1.0512161770402457,1.0109068656501905,-1.7586057592274515,-1.585916612976371,-1.3348826747498512,-1.0898783038864048,-1.2126061992543302
2021-01-01 03:00:00,1.031889456105193,0.9408781434627588,-1.7456786288254613,-1.5963372403620233,-1.3524541982592087,-1.0958861025578956,-1.2126061992543302
2021-01-01 03:15:00,1.0142580615679322,0.8816635394762236,-1.737195199499156,-1.6087966861492162,-1.332766277539027,-1.0971921457473501,-1.2126061992543302
2021-01-01 03:30:00,0.9986610587080567,0.8319770504450739,-1.7322667310333972,-1.622615344204103,-1.2895158012049999,-1.0914455557137501,-1.2126061992543302
2021-01-01 03:45:00,0.9847593822459924,0.7888374870274405,-1.7293581266929494,-1.6370003407038622,-1.2432589554996991,-1.0778627065434234,-1.2126061992543302
2021-01-01 04:00:00,0.9725530321817394,0.7492052051884766,-1.7271766734376135,-1.6509322664477233,-1.213271235020172,-1.0616677709941875,-1.2126061992543302
2021-01-01 04:15:00,0.9618724758755205,0.7115019282177805,-1.7246720419222281,-1.6638447829908143,-1.2111005712141982,-1.0504357995648783,-1.2126061992543302
