dtime,p_sfc,rh_2,t_2,tdew2m,wdir_70,wspd_70,power
2021-01-01 00:00:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.14202751209804204
2021-01-01 00:15:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.05836995313723119
2021-01-01 00:30:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.03013139024333265
2021-01-01 00:45:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.05421087488694414
2021-01-01 01:00:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.05246757328792086
2021-01-01 01:15:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.027326944569074703
2021-01-01 01:30:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.08471751106896154
2021-01-01 01:45:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.0975889868311606
2021-01-01 02:00:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.12817993359090388
2021-01-01 02:15:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.07958808475022155
2021-01-01 02:30:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.10131756047383975
2021-01-01 02:45:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.16196235085461752
2021-01-01 03:00:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.11608469974583867
2021-01-01 03:15:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.09240301853234226
2021-01-01 03:30:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.1913402483487056
2021-01-01 03:45:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.058796712637919524
2021-01-01 04:00:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.08588909012628784
2021-01-01 04:15:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.24353041418652308
2021-01-01 04:30:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.3177822741349458
2021-01-01 04:45:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.3261167812242663
2021-01-01 05:00:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.2566875228593926
2021-01-01 05:15:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.20949661803884234
2021-01-01 05:30:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.18291549331703064
2021-01-01 05:45:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.1895794086880102
2021-01-01 06:00:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.2408753160686918
2021-01-01 06:15:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.20526008001617008
2021-01-01 06:30:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.06406470791268352
2021-01-01 06:45:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.10876685216907407
2021-01-01 07:00:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.057091866892875216
2021-01-01 07:15:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.14387896507737677
2021-01-01 07:30:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.07764793667774292
2021-01-01 07:45:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.16758585725452685
2021-01-01 08:00:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.05925507718724616
2021-01-01 08:15:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.2570915376863499
2021-01-01 08:30:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.1653636386901549
2021-01-01 08:45:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.1465163424453935
2021-01-01 09:00:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.14619517669102275
2021-01-01 09:15:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.46090464076465687
2021-01-01 09:30:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.4249498787994514
2021-01-01 09:45:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.39489914087683803
2021-01-01 10:00:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.4264034370045998
2021-01-01 10:15:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.32382029993000144
2021-01-01 10:30:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.3635863019223302
2021-01-01 10:45:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.3188879941169304
2021-01-01 11:00:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.42429786481916176
2021-01-01 11:15:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.20628139807635762
2021-01-01 11:30:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.34840464325518494
2021-01-01 11:45:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.5178186195730109
2021-01-01 12:00:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.5227869606221739
2021-01-01 12:15:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.588653754537862
2021-01-01 12:30:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.5964450384357026
2021-01-01 12:45:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.6734638016451164
2021-01-01 13:00:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.7852665698590502
2021-01-01 13:15:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.7548794117221742
2021-01-01 13:30:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.6670932377588245
2021-01-01 13:45:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.8554312850132629
2021-01-01 14:00:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.7273388545484191
2021-01-01 14:15:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.5954435420389674
2021-01-01 14:30:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.7274944135016879
2021-01-01 14:45:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.6119623408925052
2021-01-01 15:00:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.5234145857354507
2021-01-01 15:15:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.5501612259142931
2021-01-01 15:30:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.5316111176052101
2021-01-01 15:45:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.566542140892341
2021-01-01 16:00:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.48302022787727544
2021-01-01 16:15:00,-2.8104548450010225,-2.6065022749330202,-2.168109998320955,-1.8879584554365838,-0.904615887043546,-1.765408791843875,-0.6060139693033412
