,dtime,p_sfc,rh_2,t_2,tdew2m,wdir_70,wspd_70
0,2021-01-01 00:00:00,905.915,21.489,-11.556,-29.315,238.402,3.0
1,2021-01-01 00:15:00,905.754,22.531,-11.6,-28.83,244.346,3.276
2,2021-01-01 00:30:00,905.586,23.648,-11.489,-28.207,250.482,3.528
3,2021-01-01 00:45:00,905.416,24.906,-11.308,-27.497,255.889,3.758
4,2021-01-01 01:00:00,905.25,26.37,-11.143,-26.75,259.875,3.945
5,2021-01-01 01:15:00,905.093,28.069,-11.058,-26.012,262.203,4.062
6,2021-01-01 01:30:00,904.952,29.88,-11.041,-25.315,263.887,4.108
7,2021-01-01 01:45:00,904.835,31.645,-11.063,-24.688,266.106,4.101
8,2021-01-01 02:00:00,904.75,33.205,-11.091,-24.158,270.0,4.069
9,2021-01-01 02:15:00,904.7,34.443,-11.102,-23.744,276.216,4.068
10,2021-01-01 02:30:00,904.674,35.41,-11.097,-23.426,283.352,4.152
11,2021-01-01 02:45:00,904.654,36.198,-11.085,-23.173,289.443,4.322
12,2021-01-01 03:00:00,904.625,36.9,-11.075,-22.957,292.912,4.533
13,2021-01-01 03:15:00,904.576,37.586,-11.072,-22.75,293.104,4.73
14,2021-01-01 03:30:00,904.513,38.238,-11.063,-22.549,291.173,4.913
15,2021-01-01 03:45:00,904.452,38.814,-11.033,-22.349,288.483,5.102
16,2021-01-01 04:00:00,904.402,39.274,-10.967,-22.152,286.223,5.305
17,2021-01-01 04:15:00,904.376,39.597,-10.855,-21.954,285.207,5.514
18,2021-01-01 04:30:00,904.37,39.85,-10.717,-21.755,285.338,5.706
19,2021-01-01 04:45:00,904.38,40.119,-10.581,-21.555,286.352,5.863
20,2021-01-01 05:00:00,904.401,40.49,-10.472,-21.354,288.053,5.971
21,2021-01-01 05:15:00,904.429,41.023,-10.412,-21.152,290.292,6.022
22,2021-01-01 05:30:00,904.468,41.664,-10.393,-20.957,292.893,6.031
23,2021-01-01 05:45:00,904.523,42.335,-10.399,-20.778,295.662,6.014
24,2021-01-01 06:00:00,904.6,42.956,-10.418,-20.624,298.384,5.983
25,2021-01-01 06:15:00,904.702,43.479,-10.44,-20.501,300.868,5.946
26,2021-01-01 06:30:00,904.82,43.996,-10.485,-20.404,303.09,5.894
